INSTANCE,HH00
GA-D_50_027.kp,-197.0000
GA-D_50_028.kp,-220.0000
GA-D_50_029.kp,-103.0000
GA-D_50_030.kp,-134.0000
GA-D_50_031.kp,-168.0000
GA-D_50_032.kp,-168.0000
GA-D_50_033.kp,-101.0000
GA-D_50_034.kp,-184.0000
GA-D_50_035.kp,-197.0000
GA-D_50_036.kp,-192.0000
GA-D_50_037.kp,-162.0000
GA-D_50_038.kp,-144.0000
GA-D_50_039.kp,-161.0000
GA-D_50_040.kp,-204.0000
GA-D_50_041.kp,-212.0000
GA-D_50_042.kp,-175.0000
GA-D_50_043.kp,-183.0000
GA-D_50_044.kp,-138.0000
GA-D_50_045.kp,-149.0000
GA-D_50_046.kp,-237.0000
GA-D_50_047.kp,-191.0000
GA-D_50_048.kp,-183.0000
GA-D_50_049.kp,-244.0000
GA-E_50_000.kp,-51.0000
GA-E_50_001.kp,-50.0000
GA-E_50_002.kp,-55.0000
GA-E_50_003.kp,-72.0000
GA-E_50_004.kp,-56.0000
GA-E_50_005.kp,-43.0000
GA-E_50_006.kp,-47.0000
GA-E_50_007.kp,-61.0000
GA-E_50_008.kp,-46.0000
GA-E_50_009.kp,-72.0000
GA-E_50_010.kp,-43.0000
GA-E_50_011.kp,-76.0000
GA-E_50_012.kp,-63.0000
GA-E_50_013.kp,-77.0000
GA-E_50_014.kp,-48.0000
GA-E_50_015.kp,-49.0000
GA-E_50_016.kp,-58.0000
GA-E_50_017.kp,-74.0000
GA-E_50_018.kp,-87.0000
GA-E_50_019.kp,-66.0000
GA-E_50_020.kp,-61.0000
GA-E_50_021.kp,-55.0000
GA-E_50_022.kp,-50.0000
GA-E_50_023.kp,-55.0000
GA-E_50_024.kp,-55.0000
GA-E_50_025.kp,-75.0000
GA-E_50_026.kp,-65.0000
GA-E_50_027.kp,-59.0000
GA-E_50_028.kp,-57.0000
GA-E_50_029.kp,-62.0000
GA-E_50_030.kp,-80.0000
GA-E_50_031.kp,-43.0000
GA-E_50_032.kp,-51.0000
GA-E_50_033.kp,-75.0000
GA-E_50_034.kp,-65.0000
GA-E_50_035.kp,-90.0000
GA-E_50_036.kp,-52.0000
GA-E_50_037.kp,-73.0000
GA-E_50_038.kp,-59.0000
GA-E_50_039.kp,-50.0000
GA-E_50_040.kp,-90.0000
GA-E_50_041.kp,-51.0000
GA-E_50_042.kp,-37.0000
GA-E_50_043.kp,-43.0000
GA-E_50_044.kp,-61.0000
GA-E_50_045.kp,-71.0000
GA-E_50_046.kp,-54.0000
GA-E_50_047.kp,-53.0000
GA-E_50_048.kp,-62.0000
GA-E_50_049.kp,-45.0000
